,New York,Boston,Philadelphia,Washington DC,Atlanta,Miami,Charlotte,Nashville,Tampa,Chicago,Detroit,Minneapolis,St. Louis,Dallas,Houston,Phoenix,Las Vegas,Denver,Salt Lake City,Los Angeles,San Francisco,Seattle,Portland,San Diego,Anchorage
New York,0.0,184.35612912032963,80.05978863626953,168.88000692818298,745.2216556854555,1087.7715944961365,528.344196242331,746.273558270266,998.7090307532658,709.0323136068207,486.82917811670114,1005.8307392178069,870.1350824589697,1362.3261727074528,1398.4258031810064,2128.427232244031,2222.0263042436386,1600.9069364087106,1963.6886746891105,2448.8336248719556,2542.275785110765,2395.273768939007,2427.4104807545796,2420.2799012576834,3361.065581050299
Boston,184.35612912032963,0.0,279.70564018463693,369.1286233377533,945.4509753226251,1260.3174522410695,727.4247971526039,940.9402019412644,1185.86216295587,858.4315148923472,630.6870346168968,1121.0988915569496,1044.27326115728,1551.9102680508518,1595.4630858130795,2295.2087890303183,2375.3008023442235,1749.6167364530447,2099.9603968591514,2605.4310596784253,2682.25720893123,2488.9112172888817,2530.425685646336,2582.3570423864194,3373.396200025653
Philadelphia,80.05978863626953,279.70564018463693,0.0,90.00712477649485,665.8579049006538,1015.4713075386359,448.3032916106333,673.7539528491924,921.3314251375427,666.6916260244313,452.3913064801714,978.3026454174935,811.5158638130649,1292.5375123233227,1323.201523342498,2070.923820285111,2171.331242085709,1553.6728203362225,1921.7885100998358,2396.206283072904,2497.6718001136364,2372.1834059530192,2400.082887593728,2364.9093739943123,3370.443770665233
Washington DC,168.88000692818298,369.1286233377533,90.00712477649485,0.0,533.7779494545438,921.868800327971,321.47991661594165,541.2401098303629,812.0507852761065,576.0639678993963,382.94562969871697,906.3958394626565,694.4879847402844,1161.595960489847,1188.9192543295485,1952.0856752117236,2060.747774427739,1448.8492971189373,1823.387674756548,2282.9396453803806,2394.6334452423384,2300.088132085074,2321.600629160811,2248.3290362644416,3347.9993897227514
Atlanta,745.2216556854555,945.4509753226251,665.8579049006538,533.7779494545438,0.0,595.9359072970083,226.53179240581892,214.0210870497217,406.9687125017152,591.5216592398913,595.3971970533945,907.028038008176,484.0520454144078,719.5652222545982,688.2084222535655,1583.9278197382694,1742.841653996188,1197.146461217514,1586.7382569230158,1942.2701530376953,2111.199762063219,2177.8947627645725,2168.067255803738,1887.5314408886159,3410.362279829082
Miami,1087.7715944961365,1260.3174522410695,1015.4713075386359,921.868800327971,595.9359072970083,0.0,652.0680013934614,807.4247315308811,204.52540920877496,1183.9441475260353,1147.7241858980724,1502.5242731813912,1069.8150634887127,1108.5079181009137,953.7513512396893,1968.673453218116,2171.169546361769,1707.9603462353984,2086.226304864881,2337.991784923803,2554.833509087078,2721.275250562661,2696.8277041600036,2263.379471030453,3998.7347297733836
Charlotte,528.344196242331,727.4247971526039,448.3032916106333,321.47991661594165,226.53179240581892,652.0680013934614,0.0,327.9543471477529,508.7878720548142,584.1818868018293,500.6370581649988,929.6180736275317,574.3805188085082,924.4443440014525,911.4886056299842,1769.9053966102233,1911.705588791389,1334.8327265979228,1723.4337853294123,2120.4533462822183,2269.5325941608266,2274.4737321775087,2277.0139346671003,2072.5094865611045,3437.9938592047934
Nashville,746.273558270266,940.9402019412644,673.7539528491924,541.2401098303629,214.0210870497217,807.4247315308811,327.9543471477529,0.0,612.9571787823118,395.39714179492074,456.6836751586862,695.3580838476496,271.7946672625533,621.6741879267504,656.495046743522,1445.5151150094373,1583.7914896424804,1011.3353057963631,1400.9809966783928,1793.47808229015,1942.2093519985979,1973.6977227910104,1968.4878127440113,1747.344369964381,3196.3531361122386
Tampa,998.7090307532658,1185.86216295587,921.3314251375427,812.0507852761065,406.9687125017152,204.52540920877496,508.7878720548142,612.9571787823118,0.0,998.485799675988,984.7542358213385,1307.8435036013282,870.1180922164748,916.179861241803,779.7966121065652,1785.0457173893637,1980.5932178480678,1505.2838735571213,1885.285103665083,2153.9407673674964,2362.7515644894665,2517.158317748304,2493.669230023515,2082.929647940201,3797.25269637854
Chicago,709.0323136068207,858.4315148923472,666.6916260244313,576.0639678993963,591.5216592398913,1183.9441475260353,584.1818868018293,395.39714179492074,998.485799675988,0.0,227.76266288715863,333.673880189936,251.13604888979117,793.6482683178849,918.498197162119,1437.4981762846999,1510.9859583447007,886.0902164349475,1246.5685265203108,1741.1565545998394,1825.0407568767175,1716.075255169949,1734.6567691768214,1719.9999583692554,2838.661929007017
